batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Mohammad Shahzad,0,3,0,0,0.0,MA Starc,7.0,31.0,1.0,0.0,2.0,4.428571428571429
Hazratullah,0,2,0,0,0.0,PJ Cummins,9.0,40.0,3.0,1.0,1.0,4.333333333333333
Rahmat Shah,43,60,6,0,71.66666666666667,NM Coulter-Nile,8.0,36.0,0.0,0.0,2.0,4.5
Hashmatullah Shahidi,18,34,3,0,52.94117647058824,MP Stoinis,7.0,37.0,2.0,0.0,3.0,5.285714285714286
Mohammad Nabi,7,22,0,0,31.818181818181817,A Zampa,8.0,60.0,3.0,0.0,0.0,7.5
Gulbadin Naib,31,33,4,1,93.93939393939394,,,,,,,
Najibullah Zadran,51,49,7,2,104.08163265306123,,,,,,,
Rashid Khan,27,11,2,3,245.45454545454547,,,,,,,
Dawlat Zadran,4,6,1,0,66.66666666666666,,,,,,,
Mujeeb Ur Rahman,13,9,1,1,144.44444444444443,,,,,,,
Hamid Hassan,1,2,0,0,50.0,,,,,,,
