batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Mohammad Shahzad,5,15,1,0,33.33333333333333,TJ Murtagh,10.0,60.0,2.0,0.0,2.0,6.0
Hazratullah,34,33,3,2,103.03030303030303,AR McBrine,10.0,37.0,1.0,0.0,0.0,3.7
Rahmat Shah,1,10,0,0,10.0,Simi Singh,8.0,46.0,0.0,0.0,0.0,5.75
Asghar Stanikzai,75,109,4,3,68.80733944954129,J Cameron-Dow,7.0,37.0,1.0,0.0,1.0,5.285714285714286
Hashmatullah Shahidi,11,15,2,0,73.33333333333333,GH Dockrell,5.0,17.0,1.0,0.0,0.0,3.4
Samiullah Shenwari,4,3,1,0,133.33333333333331,WB Rankin,10.0,56.0,2.0,0.0,4.0,5.6
Najibullah Zadran,104,98,5,5,106.12244897959184,,,,,,,
Mohammad Nabi,2,4,0,0,50.0,,,,,,,
Rashid Khan,8,10,1,0,80.0,,,,,,,
Dawlat Zadran,2,3,0,0,66.66666666666666,,,,,,,
