batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
WTS Porterfield,21,19,4,0,110.5263157894737,Mujeeb Ur Rahman,8.0,25.0,2.0,0.0,1.0,3.125
PR Stirling,11,18,1,0,61.111111111111114,Aftab Alam,8.0,25.0,4.0,0.0,0.0,3.125
A Balbirnie,0,3,0,0,0.0,Gulbadin Naib,6.0,21.0,1.0,0.0,0.0,3.5
Simi Singh,20,43,2,0,46.51162790697674,Mohammad Nabi,8.0,18.0,1.0,0.0,0.0,2.25
KJ O'Brien,26,57,0,0,45.614035087719294,Rashid Khan,6.0,22.0,2.0,0.0,3.0,3.6666666666666665
GH Dockrell,8,28,0,0,28.57142857142857,,,,,,,
SW Poynter,4,13,0,0,30.76923076923077,,,,,,,
AR McBrine,1,7,0,0,14.285714285714285,,,,,,,
TJ Murtagh,0,1,0,0,0.0,,,,,,,
WB Rankin,9,14,0,0,64.28571428571429,,,,,,,
J Cameron-Dow,7,10,1,0,70.0,,,,,,,
