batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Rahmat Shah,35,43,5,0,81.3953488372093,Imad Wasim,10.0,48.0,2.0,0.0,0.0,4.8
Gulbadin Naib,15,12,3,0,125.0,Mohammad Amir,10.0,41.0,0.0,0.0,1.0,4.1
Hashmatullah Shahidi,0,1,0,0,0.0,Shaheen Shah Afridi,10.0,47.0,4.0,0.0,4.0,4.7
Ikram Alikhil,24,66,1,0,36.36363636363637,Mohammad Hafeez,2.0,10.0,0.0,0.0,0.0,5.0
Asghar Stanikzai,42,35,3,2,120.0,Wahab Riaz,8.0,29.0,2.0,0.0,4.0,3.625
Mohammad Nabi,16,33,0,0,48.484848484848484,Shadab Khan,10.0,44.0,1.0,0.0,1.0,4.4
Najibullah Zadran,42,54,6,0,77.77777777777779,,,,,,,
Samiullah Shenwari,19,32,1,0,59.375,,,,,,,
Rashid Khan,8,12,1,0,66.66666666666666,,,,,,,
Hamid Hassan,1,3,0,0,33.33333333333333,,,,,,,
Mujeeb Ur Rahman,7,9,1,0,77.77777777777779,,,,,,,
