batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Mohammad Shahzad,7,12,1,0,58.333333333333336,SL Malinga,7.0,39.0,3.0,0.0,3.0,5.571428571428571
Hazratullah,30,25,3,1,120.0,RAS Lakmal,6.0,27.0,0.0,0.0,2.0,4.5
Rahmat Shah,2,11,0,0,18.181818181818183,I Udana,6.0,28.0,1.0,1.0,0.0,4.5
Hashmatullah Shahidi,4,17,0,0,23.52941176470588,N Pradeep,9.0,31.0,4.0,0.0,8.0,3.4444444444444446
Mohammad Nabi,11,16,1,0,68.75,NLTC Perera,4.0,19.0,1.0,0.0,2.0,4.75
Gulbadin Naib,23,32,2,0,71.875,DM de Silva,1.0,7.0,0.0,0.0,0.0,7.0
Najibullah Zadran,43,56,6,0,76.78571428571429,,,,,,,
Rashid Khan,2,4,0,0,50.0,,,,,,,
Dawlat Zadran,6,18,1,0,33.33333333333333,,,,,,,
Hamid Hassan,6,5,0,1,120.0,,,,,,,
Mujeeb Ur Rahman,1,1,0,0,100.0,,,,,,,
