batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Gulbadin Naib,5,6,1,0,83.33333333333334,SS Cottrell,7.0,43.0,0.0,0.0,3.0,6.142857142857143
Rahmat Shah,62,78,10,0,79.48717948717949,KAJ Roach,10.0,37.0,3.0,0.0,1.0,3.7
Ikram Alikhil,86,93,8,0,92.47311827956989,O Thomas,7.0,43.0,1.0,0.0,0.0,6.142857142857143
Najibullah Zadran,31,38,1,1,81.57894736842105,JO Holder,8.0,46.0,0.0,1.0,2.0,5.625
Asghar Stanikzai,40,32,4,1,125.0,FA Allen,3.0,26.0,0.0,0.0,0.0,8.666666666666666
Mohammad Nabi,2,6,0,0,33.33333333333333,CR Brathwaite,9.0,63.0,4.0,1.0,3.0,6.888888888888889
Samiullah Shenwari,6,9,0,0,66.66666666666666,CH Gayle,6.0,28.0,1.0,0.0,1.0,4.666666666666667
Rashid Khan,9,16,0,1,56.25,,,,,,,
Dawlat Zadran,1,2,0,0,50.0,,,,,,,
Sayed Shirzad,25,17,2,2,147.05882352941177,,,,,,,
Mujeeb Ur Rahman,7,5,1,0,140.0,,,,,,,
