batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Hazratullah,9,21,1,0,42.857142857142854,SS Cottrell,7.0,33.0,1.0,0.0,1.0,4.714285714285714
Javed Ahmadi,5,13,1,0,38.46153846153847,JO Holder,10.0,21.0,2.0,0.0,0.0,2.1
Rahmat Shah,61,80,6,1,76.25,AS Joseph,5.0,42.0,0.0,0.0,1.0,8.4
Ikram Alikhil,58,62,6,1,93.54838709677419,R Shepherd,7.0,32.0,2.0,0.0,0.0,4.571428571428571
Najibullah Zadran,0,3,0,0,0.0,RL Chase,10.0,31.0,2.0,0.0,3.0,3.1
Asghar Stanikzai,35,52,1,1,67.3076923076923,HR Walsh,7.0,33.0,1.0,0.0,0.0,4.714285714285714
Mohammad Nabi,1,14,0,0,7.142857142857142,,,,,,,
Gulbadin Naib,17,16,3,0,106.25,,,,,,,
Rashid Khan,0,2,0,0,0.0,,,,,,,
Naveen-ul-Haq,1,9,0,0,11.11111111111111,,,,,,,
