batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DA Warner,9,11,1,0,81.81818181818183,CR Woakes,8.0,20.0,3.0,0.0,0.0,2.5
AJ Finch,0,1,0,0,0.0,JC Archer,10.0,32.0,2.0,0.0,2.0,3.2
SPD Smith,85,119,6,0,71.42857142857143,BA Stokes,4.0,22.0,0.0,0.0,0.0,5.5
PSP Handscomb,4,12,0,0,33.33333333333333,MA Wood,9.0,45.0,1.0,0.0,4.0,5.0
AT Carey,46,70,4,0,65.71428571428571,LE Plunkett,8.0,44.0,0.0,0.0,3.0,5.5
MP Stoinis,0,2,0,0,0.0,AU Rashid,10.0,54.0,3.0,0.0,1.0,5.4
GJ Maxwell,22,23,2,1,95.65217391304348,,,,,,,
PJ Cummins,6,10,0,0,60.0,,,,,,,
MA Starc,29,36,1,1,80.55555555555556,,,,,,,
NM Lyon,5,6,0,0,83.33333333333334,,,,,,,
JP Behrendorff,1,4,0,0,25.0,,,,,,,
