batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RG Sharma,133,129,10,6,103.10077519379846,JP Behrendorff,10.0,39.0,2.0,1.0,1.0,3.8
S Dhawan,0,1,0,0,0.0,JA Richardson,10.0,26.0,4.0,0.0,3.0,2.6
V Kohli,3,8,0,0,37.5,PM Siddle,8.0,48.0,1.0,0.0,0.0,6.0
AT Rayudu,0,2,0,0,0.0,NM Lyon,10.0,50.0,0.0,0.0,0.0,5.0
MS Dhoni,51,96,3,1,53.125,MP Stoinis,10.0,66.0,2.0,0.0,2.0,6.6
KD Karthik,12,21,0,0,57.14285714285714,GJ Maxwell,2.0,18.0,0.0,0.0,0.0,9.0
RA Jadeja,8,13,0,0,61.53846153846154,,,,,,,
B Kumar,29,23,4,0,126.08695652173914,,,,,,,
Kuldeep Yadav,3,6,0,0,50.0,,,,,,,
Mohammed Shami,1,2,0,0,50.0,,,,,,,
