batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AT Carey,18,27,2,0,66.66666666666666,B Kumar,10.0,45.0,4.0,0.0,2.0,4.5
AJ Finch,6,19,0,0,31.57894736842105,Mohammed Shami,10.0,58.0,3.0,0.0,0.0,5.8
SE Marsh,131,123,11,3,106.5040650406504,Mohammed Siraj,10.0,76.0,0.0,0.0,3.0,7.6
UT Khawaja,21,23,3,0,91.30434782608695,Kuldeep Yadav,10.0,66.0,0.0,0.0,0.0,6.6
PSP Handscomb,20,22,2,0,90.9090909090909,RA Jadeja,10.0,49.0,1.0,0.0,1.0,4.9
MP Stoinis,29,36,3,0,80.55555555555556,,,,,,,
GJ Maxwell,48,37,5,1,129.72972972972974,,,,,,,
JA Richardson,2,6,0,0,33.33333333333333,,,,,,,
NM Lyon,12,5,1,1,240.0,,,,,,,
PM Siddle,0,1,0,0,0.0,,,,,,,
JP Behrendorff,1,1,0,0,100.0,,,,,,,
