batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DA Warner,16,23,3,0,69.56521739130434,TA Boult,10.0,51.0,4.0,0.0,0.0,5.1
AJ Finch,8,15,1,0,53.333333333333336,C de Grandhomme,8.0,29.0,0.0,0.0,1.0,3.625
UT Khawaja,88,129,5,0,68.21705426356588,LH Ferguson,10.0,49.0,2.0,0.0,0.0,4.9
SPD Smith,5,8,0,0,62.5,IS Sodhi,6.0,35.0,0.0,0.0,0.0,5.833333333333333
MP Stoinis,21,26,3,0,80.76923076923077,JDS Neesham,6.0,28.0,2.0,0.0,1.0,4.666666666666667
GJ Maxwell,1,5,0,0,20.0,MJ Santner,3.0,23.0,0.0,0.0,5.0,7.666666666666667
AT Carey,71,72,11,0,98.61111111111111,KS Williamson,7.0,25.0,1.0,0.0,0.0,3.5714285714285716
PJ Cummins,23,19,1,0,121.05263157894737,,,,,,,
MA Starc,0,1,0,0,0.0,,,,,,,
JP Behrendorff,0,1,0,0,0.0,,,,,,,
NM Lyon,0,1,0,0,0.0,,,,,,,
