batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AJ Finch,82,84,6,4,97.61904761904762,Mohammad Amir,10.0,30.0,5.0,0.0,1.0,3.0
DA Warner,107,111,11,1,96.3963963963964,Shaheen Shah Afridi,10.0,70.0,2.0,1.0,1.0,6.9
SPD Smith,10,13,1,0,76.92307692307693,Hasan Ali,10.0,67.0,1.0,1.0,3.0,6.6
GJ Maxwell,20,10,2,1,200.0,Wahab Riaz,8.0,44.0,1.0,0.0,1.0,5.5
SE Marsh,23,26,2,0,88.46153846153845,Mohammad Hafeez,7.0,60.0,1.0,0.0,0.0,8.571428571428571
UT Khawaja,18,16,3,0,112.5,Shoaib Malik,4.0,26.0,0.0,1.0,0.0,6.25
AT Carey,20,21,2,0,95.23809523809523,,,,,,,
NM Coulter-Nile,2,3,0,0,66.66666666666666,,,,,,,
PJ Cummins,2,6,0,0,33.33333333333333,,,,,,,
MA Starc,3,6,0,0,50.0,,,,,,,
KW Richardson,1,1,0,0,100.0,,,,,,,
