batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Imam-ul-Haq,53,75,7,0,70.66666666666667,PJ Cummins,10.0,33.0,3.0,1.0,0.0,3.2
Fakhar Zaman,0,3,0,0,0.0,MA Starc,9.0,43.0,2.0,0.0,2.0,4.777777777777778
Babar Azam,30,28,7,0,107.14285714285714,KW Richardson,9.0,62.0,2.0,0.0,2.0,6.888888888888889
Mohammad Hafeez,46,49,3,1,93.87755102040816,NM Coulter-Nile,9.0,53.0,1.0,0.0,2.0,5.888888888888889
Sarfraz Ahmed,40,48,1,0,83.33333333333334,GJ Maxwell,7.0,58.0,0.0,0.0,1.0,8.285714285714286
Shoaib Malik,0,2,0,0,0.0,AJ Finch,2.0,13.0,1.0,0.0,2.0,6.5
Asif Ali,5,8,0,0,62.5,,,,,,,
Hasan Ali,32,15,3,3,213.33333333333334,,,,,,,
Wahab Riaz,45,39,2,3,115.38461538461537,,,,,,,
Mohammad Amir,0,2,0,0,0.0,,,,,,,
Shaheen Shah Afridi,1,6,0,0,16.666666666666664,,,,,,,
