batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,8,21,0,0,38.095238095238095,Mohammad Hafeez,6.0,32.0,0.0,0.0,0.0,5.333333333333333
Soumya Sarkar,22,22,4,0,100.0,Mohammad Amir,7.0,31.0,1.0,0.0,1.0,4.428571428571429
Shakib Al Hasan,64,77,6,0,83.11688311688312,Shaheen Shah Afridi,10.0,35.0,6.0,0.0,4.0,3.5
Mushfiqur Rahim,16,19,2,0,84.21052631578947,Wahab Riaz,7.0,33.0,1.0,0.0,1.0,4.714285714285714
Liton Das,32,40,3,0,80.0,Imad Wasim,6.0,26.0,0.0,0.0,0.0,4.333333333333333
Mahmudullah,29,41,3,0,70.73170731707317,Shadab Khan,9.0,59.0,2.0,0.0,0.0,6.555555555555555
Mosaddek Hossain,16,21,1,0,76.19047619047619,,,,,,,
Mohammad Saifuddin,0,1,0,0,0.0,,,,,,,
Mehedi Hasan Miraz,7,6,1,0,116.66666666666667,,,,,,,
Mashrafe Mortaza,15,14,0,2,107.14285714285714,,,,,,,
Mustafizur Rahman,1,3,0,0,33.33333333333333,,,,,,,
