batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SD Hope,87,108,6,1,80.55555555555556,Abu Jayed,9.0,55.0,0.0,0.0,2.0,6.111111111111111
SW Ambris,23,19,4,0,121.05263157894737,Mashrafe Mortaza,10.0,60.0,3.0,0.0,1.0,6.0
DM Bravo,6,13,1,0,46.15384615384615,Mehedi Hasan Miraz,10.0,41.0,1.0,0.0,0.0,4.1
RL Chase,19,29,2,0,65.51724137931035,Mustafizur Rahman,9.0,43.0,4.0,0.0,0.0,4.777777777777778
JL Carter,3,14,0,0,21.428571428571427,Shakib Al Hasan,10.0,27.0,1.0,0.0,0.0,2.7
JO Holder,62,76,3,1,81.57894736842105,Soumya Sarkar,2.0,15.0,0.0,0.0,0.0,7.5
FA Allen,7,9,1,0,77.77777777777779,,,,,,,
RA Reifer,7,12,0,0,58.333333333333336,,,,,,,
AR Nurse,14,12,1,0,116.66666666666667,,,,,,,
KAJ Roach,3,4,0,0,75.0,,,,,,,
SS Cottrell,8,4,0,1,200.0,,,,,,,
