batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JJ Roy,60,61,8,0,98.36065573770492,MJ Santner,10.0,65.0,1.0,0.0,2.0,6.5
JM Bairstow,106,99,15,1,107.07070707070707,TA Boult,10.0,56.0,2.0,0.0,1.0,5.6
JE Root,24,25,1,0,96.0,TG Southee,9.0,70.0,1.0,0.0,0.0,7.777777777777778
JC Buttler,11,12,1,0,91.66666666666666,MJ Henry,10.0,54.0,2.0,0.0,2.0,5.4
EJG Morgan,42,40,5,0,105.0,C de Grandhomme,1.0,11.0,0.0,0.0,0.0,11.0
BA Stokes,11,27,0,0,40.74074074074074,JDS Neesham,10.0,41.0,2.0,0.0,2.0,4.1
CR Woakes,4,11,0,0,36.36363636363637,,,,,,,
LE Plunkett,15,12,1,0,125.0,,,,,,,
AU Rashid,16,12,1,0,133.33333333333331,,,,,,,
JC Archer,1,1,0,0,100.0,,,,,,,
