batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Fakhar Zaman,0,3,0,0,0.0,CR Woakes,10.0,54.0,5.0,0.0,0.0,5.4
Abid Ali,5,9,1,0,55.55555555555556,DJ Willey,9.0,55.0,1.0,0.0,2.0,6.111111111111111
Babar Azam,80,83,9,1,96.3855421686747,TK Curran,6.0,40.0,0.0,0.0,0.0,6.666666666666667
Mohammad Hafeez,0,3,0,0,0.0,BA Stokes,4.0,28.0,0.0,0.0,1.0,7.0
Sarfraz Ahmed,97,80,7,2,121.24999999999999,MM Ali,10.0,63.0,0.0,0.0,0.0,6.3
Shoaib Malik,4,12,0,0,33.33333333333333,AU Rashid,8.0,54.0,2.0,0.0,0.0,6.75
Asif Ali,22,17,2,0,129.41176470588235,,,,,,,
Imad Wasim,25,21,3,0,119.04761904761905,,,,,,,
Hasan Ali,11,10,1,1,110.00000000000001,,,,,,,
Shaheen Shah Afridi,19,26,2,0,73.07692307692307,,,,,,,
Mohammad Hasnain,28,17,4,1,164.70588235294116,,,,,,,
