batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Imam-ul-Haq,44,58,3,1,75.86206896551724,CR Woakes,8.0,71.0,3.0,0.0,2.0,8.875
Fakhar Zaman,36,40,6,0,90.0,JC Archer,10.0,79.0,0.0,0.0,5.0,7.9
Babar Azam,63,66,4,1,95.45454545454545,MM Ali,10.0,50.0,3.0,0.0,0.0,5.0
Mohammad Hafeez,84,62,8,2,135.48387096774192,MA Wood,10.0,53.0,2.0,0.0,2.0,5.3
Sarfraz Ahmed,55,44,6,0,125.0,BA Stokes,7.0,43.0,0.0,0.0,0.0,6.142857142857143
Asif Ali,14,11,0,1,127.27272727272727,AU Rashid,5.0,43.0,0.0,0.0,2.0,8.6
Shoaib Malik,8,8,0,0,100.0,,,,,,,
Wahab Riaz,4,2,1,0,200.0,,,,,,,
Hasan Ali,10,5,0,1,200.0,,,,,,,
Shadab Khan,10,4,2,0,250.0,,,,,,,
