batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RG Sharma,0,6,0,0,0.0,PJ Cummins,9.0,29.0,4.0,0.0,1.0,3.2222222222222223
S Dhawan,21,29,4,0,72.41379310344827,NM Coulter-Nile,9.0,52.0,1.0,0.0,1.0,5.777777777777778
V Kohli,116,120,10,0,96.66666666666667,GJ Maxwell,10.0,45.0,1.0,0.0,2.0,4.5
AT Rayudu,18,32,2,0,56.25,A Zampa,10.0,62.0,2.0,0.0,0.0,6.2
V Shankar,46,41,5,1,112.19512195121952,NM Lyon,10.0,42.0,1.0,0.0,0.0,4.2
KM Jadhav,11,12,1,0,91.66666666666666,MP Stoinis,1.0,12.0,0.0,0.0,0.0,12.0
MS Dhoni,0,1,0,0,0.0,,,,,,,
RA Jadeja,21,40,0,0,52.5,,,,,,,
Kuldeep Yadav,3,3,0,0,100.0,,,,,,,
Mohammed Shami,2,4,0,0,50.0,,,,,,,
JJ Bumrah,0,2,0,0,0.0,,,,,,,
