batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AJ Finch,37,53,5,1,69.81132075471697,Mohammed Shami,10.0,59.0,0.0,0.0,5.0,5.9
UT Khawaja,38,37,6,0,102.7027027027027,JJ Bumrah,10.0,29.0,2.0,0.0,2.0,2.9
SE Marsh,16,27,0,0,59.25925925925925,RA Jadeja,10.0,48.0,1.0,0.0,1.0,4.8
PSP Handscomb,48,59,4,0,81.35593220338984,V Shankar,2.0,15.0,2.0,0.0,0.0,7.5
GJ Maxwell,4,18,0,0,22.22222222222222,Kuldeep Yadav,10.0,54.0,3.0,0.0,1.0,5.4
MP Stoinis,52,65,4,1,80.0,KM Jadhav,8.0,33.0,1.0,0.0,1.0,4.125
AT Carey,22,24,2,0,91.66666666666666,,,,,,,
NM Coulter-Nile,4,4,0,0,100.0,,,,,,,
PJ Cummins,0,2,0,0,0.0,,,,,,,
NM Lyon,6,6,1,0,100.0,,,,,,,
A Zampa,2,2,0,0,100.0,,,,,,,
