batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,1,14,0,0,7.142857142857142,B Kumar,10.0,43.0,3.0,0.0,0.0,4.3
HM Nicholls,28,51,2,0,54.90196078431373,JJ Bumrah,10.0,39.0,1.0,0.0,0.0,3.9
KS Williamson,67,95,6,0,70.52631578947368,HH Pandya,10.0,55.0,1.0,0.0,5.0,5.5
LRPL Taylor,74,90,3,1,82.22222222222221,RA Jadeja,10.0,34.0,1.0,0.0,0.0,3.4
JDS Neesham,12,18,1,0,66.66666666666666,YS Chahal,10.0,63.0,1.0,0.0,8.0,6.3
C de Grandhomme,16,10,2,0,160.0,,,,,,,
TWM Latham,10,11,0,0,90.9090909090909,,,,,,,
MJ Santner,9,6,1,0,150.0,,,,,,,
MJ Henry,1,2,0,0,50.0,,,,,,,
TA Boult,3,3,0,0,100.0,,,,,,,
