batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HM Amla,6,9,1,0,66.66666666666666,B Kumar,10.0,44.0,2.0,0.0,2.0,4.4
Q de Kock,10,17,1,0,58.82352941176471,JJ Bumrah,10.0,35.0,2.0,0.0,0.0,3.5
F du Plessis,38,54,4,0,70.37037037037037,HH Pandya,6.0,31.0,0.0,0.0,0.0,5.166666666666667
HE van der Dussen,22,37,1,0,59.45945945945946,Kuldeep Yadav,10.0,46.0,1.0,0.0,1.0,4.6
DA Miller,31,40,1,0,77.5,YS Chahal,10.0,51.0,4.0,0.0,3.0,5.1
JP Duminy,3,11,0,0,27.27272727272727,KM Jadhav,4.0,16.0,0.0,0.0,0.0,4.0
AL Phehlukwayo,34,61,2,1,55.73770491803278,,,,,,,
CH Morris,42,34,1,2,123.52941176470588,,,,,,,
K Rabada,31,35,2,0,88.57142857142857,,,,,,,
Imran Tahir,0,2,0,0,0.0,,,,,,,
