batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RG Sharma,36,56,6,0,64.28571428571429,SS Cottrell,10.0,46.0,2.0,0.0,4.0,4.6
KL Rahul,6,15,1,0,40.0,JO Holder,8.0,45.0,0.0,1.0,1.0,5.5
V Kohli,4,4,1,0,100.0,HR Walsh,5.0,31.0,0.0,0.0,0.0,6.2
SS Iyer,70,88,5,1,79.54545454545455,KMA Paul,7.0,40.0,2.0,2.0,3.0,5.428571428571429
RR Pant,71,69,7,1,102.89855072463767,AS Joseph,9.0,45.0,2.0,0.0,3.0,5.0
KM Jadhav,40,35,3,1,114.28571428571428,RL Chase,7.0,42.0,0.0,0.0,0.0,6.0
RA Jadeja,21,21,2,0,100.0,KA Pollard,4.0,28.0,1.0,0.0,0.0,7.0
S Dube,9,6,1,0,150.0,,,,,,,
DL Chahar,6,8,0,0,75.0,,,,,,,
Mohammed Shami,0,1,0,0,0.0,,,,,,,
