batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,71,94,6,2,75.53191489361703,Dawlat Zadran,7.0,35.0,3.0,0.0,0.0,5.0
JA McCollum,4,10,0,0,40.0,Aftab Alam,8.0,28.0,3.0,0.0,1.0,3.5
A Balbirnie,4,8,1,0,50.0,Mujeeb Ur Rahman,10.0,35.0,0.0,0.0,1.0,3.5
WTS Porterfield,53,83,6,0,63.85542168674698,Gulbadin Naib,10.0,45.0,1.0,0.0,0.0,4.5
KJ O'Brien,32,44,4,0,72.72727272727273,Rashid Khan,10.0,41.0,2.0,0.0,1.0,4.1
GC Wilson,10,12,0,0,83.33333333333334,Mohammad Nabi,4.0,21.0,0.0,0.0,0.0,5.25
GH Dockrell,14,18,0,0,77.77777777777779,,,,,,,
MR Adair,7,10,0,0,70.0,,,,,,,
AR McBrine,3,7,0,0,42.857142857142854,,,,,,,
TJ Murtagh,3,5,0,0,60.0,,,,,,,
WB Rankin,1,2,0,0,50.0,,,,,,,
