batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,50,56,4,2,89.28571428571429,Dawlat Zadran,7.0,35.0,1.0,0.0,2.0,5.0
JA McCollum,3,16,0,0,18.75,Mujeeb Ur Rahman,5.0,27.0,0.0,0.0,2.0,5.4
A Balbirnie,20,28,3,0,71.42857142857143,Aftab Alam,7.0,27.0,1.0,0.0,2.0,3.857142857142857
WTS Porterfield,19,32,0,0,59.375,Gulbadin Naib,10.0,43.0,6.0,0.0,1.0,4.3
KJ O'Brien,12,12,2,0,100.0,Rashid Khan,9.0,31.0,0.0,0.0,0.0,3.4444444444444446
GC Wilson,34,53,2,0,64.15094339622641,Rahmat Shah,4.0,12.0,1.0,0.0,2.0,3.0
AR McBrine,1,6,0,0,16.666666666666664,,,,,,,
MR Adair,8,13,1,0,61.53846153846154,,,,,,,
BJ McCarthy,18,22,3,0,81.81818181818183,,,,,,,
TJ Murtagh,0,3,0,0,0.0,,,,,,,
WB Rankin,1,7,0,0,14.285714285714285,,,,,,,
