batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,52,73,7,0,71.23287671232876,KM Jarvis,8.0,29.0,1.0,0.0,0.0,3.625
JA McCollum,73,92,11,0,79.34782608695652,TL Chatara,7.0,33.0,0.0,0.0,0.0,4.714285714285714
A Balbirnie,9,17,0,0,52.94117647058824,DT Tiripano,7.0,36.0,0.0,0.0,0.0,5.142857142857143
WTS Porterfield,20,36,2,0,55.55555555555556,SC Williams,8.0,43.0,2.0,0.0,2.0,5.375
KJ O'Brien,6,6,1,0,100.0,RP Burl,4.0,27.0,0.0,0.0,0.0,6.75
L Tucker,56,51,7,0,109.80392156862746,SF Mire,8.0,43.0,4.0,0.0,4.0,5.375
SC Getkate,7,10,1,0,70.0,Sikandar Raza,8.0,28.0,2.0,0.0,0.0,3.5
MR Adair,3,5,0,0,60.0,,,,,,,
AR McBrine,4,6,0,0,66.66666666666666,,,,,,,
TJ Murtagh,2,3,0,0,66.66666666666666,,,,,,,
WB Rankin,1,1,0,0,100.0,,,,,,,
