batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Khawar Ali,3,7,0,0,42.857142857142854,JJ Smit,5.0,21.0,3.0,0.0,0.0,4.2
Jatinder Singh,0,2,0,0,0.0,JN Frylinck,8.0,13.0,5.0,0.0,3.0,1.625
Aqib Ilyas,11,15,1,0,73.33333333333333,CG Williams,4.0,11.0,0.0,0.0,0.0,2.75
Zeeshan Maqsood,12,22,1,1,54.54545454545454,C Viljoen,4.0,6.0,2.0,0.0,1.0,1.5
Mohammad Nadeem,5,17,0,0,29.411764705882355,BM Scholtz,6.0,16.0,0.0,0.0,0.0,2.6666666666666665
Suraj Kumar,27,61,2,0,44.26229508196721,HN Ya France,2.0,13.0,0.0,0.0,0.0,6.5
Sandeep Goud,0,2,0,0,0.0,,,,,,,
Khurram Nawaz,17,34,1,0,50.0,,,,,,,
Fayyaz Butt,1,9,0,0,11.11111111111111,,,,,,,
Kaleemullah,0,2,0,0,0.0,,,,,,,
Bilal Khan,0,3,0,0,0.0,,,,,,,
