batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Ura,28,25,3,1,112.00000000000001,JJ Smit,9.0,34.0,1.0,0.0,0.0,3.7777777777777777
SK Atai,24,57,2,0,42.10526315789473,JN Frylinck,9.0,54.0,2.0,0.0,0.0,6.0
A Vala,104,114,7,4,91.22807017543859,HN Ya France,2.0,18.0,0.0,0.0,6.0,9.0
L Siaka,0,2,0,0,0.0,Z Groenewald,7.0,36.0,0.0,0.0,1.0,5.142857142857143
CJA Amini,6,12,0,0,50.0,MG Erasmus,4.0,18.0,0.0,0.0,0.0,4.5
K Doriga,1,5,0,0,20.0,CG Williams,9.0,37.0,1.0,0.0,0.0,4.111111111111111
R Hekure,2,8,0,0,25.0,BM Scholtz,8.0,27.0,4.0,0.0,0.0,3.375
H Hiri,16,26,0,0,61.53846153846154,,,,,,,
N Vanua,15,17,0,1,88.23529411764706,,,,,,,
J Kila,12,13,1,0,92.3076923076923,,,,,,,
N Pokana,9,6,1,0,150.0,,,,,,,
