batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
H Masakadza,7,20,1,0,35.0,FJ Klaassen,10.0,29.0,2.0,0.0,1.0,2.9
SF Mire,4,6,1,0,66.66666666666666,VJ Kingma,9.0,47.0,1.0,0.0,9.0,5.222222222222222
CR Ervine,16,21,3,0,76.19047619047619,RE van der Merwe,9.0,57.0,1.0,0.0,0.0,6.333333333333333
SC Williams,16,24,0,1,66.66666666666666,PA van Meekeren,9.0,30.0,2.0,0.0,3.0,3.3333333333333335
BRM Taylor,71,85,7,2,83.52941176470588,PM Seelaar,10.0,32.0,2.0,0.0,0.0,3.2
Sikandar Raza,11,23,0,0,47.82608695652174,,,,,,,
PJ Moor,4,12,0,0,33.33333333333333,,,,,,,
DT Tiripano,21,60,1,0,35.0,,,,,,,
KM Jarvis,32,30,3,0,106.66666666666667,,,,,,,
TL Chatara,0,1,0,0,0.0,,,,,,,
