batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,5,28,0,0,17.857142857142858,MJ Henry,10.0,30.0,1.0,0.0,1.0,3.0
Liton Das,1,4,0,0,25.0,TA Boult,10.0,49.0,1.0,0.0,0.0,4.9
Soumya Sarkar,22,23,3,0,95.65217391304348,C de Grandhomme,4.0,25.0,1.0,0.0,8.0,6.25
Mushfiqur Rahim,24,36,2,0,66.66666666666666,LH Ferguson,10.0,43.0,3.0,0.0,6.0,4.3
Mohammad Mithun,57,69,7,1,82.6086956521739,TD Astle,10.0,52.0,2.0,0.0,0.0,5.2
Mahmudullah,7,8,1,0,87.5,JDS Neesham,6.0,21.0,2.0,0.0,2.0,3.5
Sabbir Rahman,43,65,7,0,66.15384615384615,,,,,,,
Mehedi Hasan Miraz,16,20,1,0,80.0,,,,,,,
Mohammad Saifuddin,10,15,0,0,66.66666666666666,,,,,,,
Mashrafe Mortaza,13,18,0,1,72.22222222222221,,,,,,,
Mustafizur Rahman,5,12,1,0,41.66666666666667,,,,,,,
