batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,0,2,0,0,0.0,TG Southee,10.0,65.0,6.0,0.0,11.0,6.5
Liton Das,1,4,0,0,25.0,TA Boult,9.0,37.0,2.0,0.0,2.0,4.111111111111111
Soumya Sarkar,0,2,0,0,0.0,C de Grandhomme,5.0,18.0,1.0,0.0,2.0,3.6
Mushfiqur Rahim,17,27,3,0,62.96296296296296,LH Ferguson,10.0,50.0,0.0,0.0,3.0,5.0
Mahmudullah,16,36,1,1,44.44444444444444,MJ Santner,10.0,46.0,0.0,0.0,0.0,4.6
Sabbir Rahman,102,110,12,2,92.72727272727272,JDS Neesham,4.0,24.0,0.0,0.0,0.0,6.0
Mohammad Saifuddin,44,63,4,0,69.84126984126983,,,,,,,
Mashrafe Mortaza,2,3,0,0,66.66666666666666,,,,,,,
Mehedi Hasan Miraz,37,34,7,0,108.8235294117647,,,,,,,
Rubel Hossain,3,3,0,0,100.0,,,,,,,
