batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,15,16,2,0,93.75,B Kumar,7.0,42.0,2.0,0.0,1.0,6.0
C Munro,31,41,3,1,75.60975609756098,Mohammed Shami,6.0,43.0,1.0,0.0,0.0,7.166666666666667
KS Williamson,20,11,1,2,181.8181818181818,V Shankar,2.0,17.0,0.0,0.0,1.0,8.5
LRPL Taylor,22,25,2,0,88.0,YS Chahal,10.0,52.0,2.0,0.0,0.0,5.2
TWM Latham,34,32,3,1,106.25,KM Jadhav,6.0,35.0,1.0,0.0,0.0,5.833333333333333
HM Nicholls,28,38,2,0,73.68421052631578,Kuldeep Yadav,10.0,45.0,4.0,0.0,0.0,4.5
C de Grandhomme,3,8,0,0,37.5,,,,,,,
DAJ Bracewell,57,46,5,3,123.91304347826086,,,,,,,
IS Sodhi,0,1,0,0,0.0,,,,,,,
LH Ferguson,12,20,1,0,60.0,,,,,,,
TA Boult,10,4,1,1,250.0,,,,,,,
