batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RG Sharma,7,23,0,0,30.434782608695656,MJ Henry,8.0,30.0,0.0,0.0,0.0,3.75
S Dhawan,13,20,1,1,65.0,TA Boult,10.0,21.0,5.0,0.0,2.0,2.1
Shubman Gill,9,21,1,0,42.857142857142854,C de Grandhomme,10.0,26.0,3.0,0.0,3.0,2.6
AT Rayudu,0,4,0,0,0.0,TD Astle,2.0,9.0,1.0,0.0,1.0,4.5
KD Karthik,0,3,0,0,0.0,JDS Neesham,1.0,5.0,1.0,0.0,0.0,5.0
KM Jadhav,1,7,0,0,14.285714285714285,,,,,,,
HH Pandya,16,20,4,0,80.0,,,,,,,
B Kumar,1,12,0,0,8.333333333333332,,,,,,,
Kuldeep Yadav,15,33,1,0,45.45454545454545,,,,,,,
YS Chahal,18,37,3,0,48.64864864864865,,,,,,,
KK Ahmed,5,5,1,0,100.0,,,,,,,
