batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
N Dickwella,76,50,8,3,152.0,TA Boult,10.0,65.0,2.0,0.0,3.0,6.5
MD Gunathilaka,43,62,3,0,69.35483870967742,MJ Henry,10.0,87.0,1.0,1.0,0.0,8.6
MDKJ Perera,102,86,13,1,118.6046511627907,LH Ferguson,10.0,65.0,2.0,0.0,1.0,6.5
BKG Mendis,18,20,2,0,90.0,IS Sodhi,10.0,53.0,2.0,0.0,4.0,5.3
LD Chandimal,10,18,0,0,55.55555555555556,JDS Neesham,8.0,38.0,3.0,0.0,3.0,4.75
DAS Gunaratne,11,23,0,0,47.82608695652174,C Munro,1.0,7.0,0.0,0.0,0.0,7.0
NLTC Perera,4,5,0,0,80.0,,,,,,,
S Prasanna,16,14,0,1,114.28571428571428,,,,,,,
PADLR Sandakan,6,7,1,0,85.71428571428571,,,,,,,
SL Malinga,11,7,0,1,157.14285714285714,,,,,,,
N Pradeep,6,3,0,1,200.0,,,,,,,
