batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CH Gayle,87,84,8,6,103.57142857142858,TA Boult,10.0,30.0,4.0,0.0,1.0,3.0
SD Hope,1,3,0,0,33.33333333333333,MJ Henry,9.0,76.0,1.0,0.0,2.0,8.444444444444445
N Pooran,1,7,0,0,14.285714285714285,LH Ferguson,10.0,59.0,3.0,0.0,6.0,5.9
SO Hetmyer,54,45,8,1,120.0,JDS Neesham,6.0,35.0,1.0,0.0,0.0,5.833333333333333
JO Holder,0,1,0,0,0.0,MJ Santner,10.0,61.0,0.0,0.0,0.0,6.1
CR Brathwaite,101,82,9,5,123.17073170731707,C de Grandhomme,4.0,22.0,1.0,0.0,0.0,5.5
AR Nurse,1,8,0,0,12.5,,,,,,,
E Lewis,0,3,0,0,0.0,,,,,,,
KAJ Roach,14,31,0,1,45.16129032258064,,,,,,,
SS Cottrell,15,26,2,0,57.692307692307686,,,,,,,
O Thomas,0,4,0,0,0.0,,,,,,,
