batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Ura,54,63,5,2,85.71428571428571,Bilal Khan,7.0,32.0,0.0,0.0,3.0,4.571428571428571
G Toka,29,47,2,0,61.702127659574465,Kaleemullah,5.0,29.0,0.0,1.0,1.0,5.6
A Vala,24,40,0,0,60.0,Fayyaz Butt,5.0,20.0,0.0,0.0,0.0,4.0
L Siaka,41,57,2,0,71.9298245614035,Jay Odedra,10.0,48.0,1.0,0.0,1.0,4.8
CJA Amini,7,10,0,0,70.0,Zeeshan Maqsood,10.0,35.0,3.0,0.0,0.0,3.5
S Bau,15,12,0,1,125.0,Khawar Ali,10.0,41.0,2.0,0.0,2.0,4.1
K Doriga,1,5,0,0,20.0,Aqib Ilyas,3.0,13.0,1.0,0.0,1.0,4.333333333333333
CA Soper,29,43,1,1,67.44186046511628,,,,,,,
N Vanua,4,9,0,0,44.44444444444444,,,,,,,
D Ravu,6,15,0,0,40.0,,,,,,,
