batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HM Amla,2,3,0,0,66.66666666666666,Mohammad Hafeez,2.0,10.0,0.0,0.0,1.0,5.0
Q de Kock,47,60,3,2,78.33333333333333,Mohammad Amir,10.0,49.0,2.0,0.0,1.0,4.9
F du Plessis,63,79,5,0,79.74683544303798,Shaheen Shah Afridi,8.0,54.0,1.0,0.0,0.0,6.75
AK Markram,7,16,0,0,43.75,Imad Wasim,10.0,48.0,0.0,0.0,0.0,4.8
HE van der Dussen,36,47,1,1,76.59574468085107,Wahab Riaz,10.0,46.0,3.0,0.0,2.0,4.6
DA Miller,31,37,3,0,83.78378378378379,Shadab Khan,10.0,50.0,3.0,0.0,1.0,5.0
AL Phehlukwayo,46,32,6,0,143.75,,,,,,,
CH Morris,16,10,1,1,160.0,,,,,,,
K Rabada,3,7,0,0,42.857142857142854,,,,,,,
L Ngidi,1,6,0,0,16.666666666666664,,,,,,,
Imran Tahir,1,3,0,0,33.33333333333333,,,,,,,
