batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MD Gunathilaka,14,19,1,0,73.68421052631578,Mohammad Amir,7.0,21.0,1.0,0.0,2.0,3.0
S Samarawickrama,6,14,1,0,42.857142857142854,Usman Shinwari,10.0,51.0,5.0,0.0,1.0,5.1
WIA Fernando,0,7,0,0,0.0,Imad Wasim,7.0,38.0,1.0,0.0,0.0,5.428571428571429
BOP Fernando,1,14,0,0,7.142857142857142,Wahab Riaz,9.0,27.0,1.0,0.0,0.0,3.0
HDRL Thirimanne,0,3,0,0,0.0,Shadab Khan,10.0,76.0,2.0,0.0,1.0,7.6
GSNFG Jayasuriya,96,109,7,1,88.07339449541286,Iftikhar Ahmed,4.0,9.0,0.0,0.0,1.0,2.25
MD Shanaka,68,80,6,2,85.0,,,,,,,
PWH de Silva,30,23,1,2,130.43478260869566,,,,,,,
I Udana,1,4,0,0,25.0,,,,,,,
CBRLS Kumara,1,8,0,0,12.5,,,,,,,
