batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MD Gunathilaka,133,134,16,1,99.25373134328358,Mohammad Amir,10.0,50.0,3.0,0.0,3.0,5.0
WIA Fernando,4,6,1,0,66.66666666666666,Usman Shinwari,8.0,41.0,1.0,0.0,2.0,5.125
HDRL Thirimanne,36,53,4,0,67.9245283018868,Iftikhar Ahmed,9.0,43.0,0.0,0.0,1.0,4.777777777777778
AK Perera,13,25,0,0,52.0,Wahab Riaz,10.0,81.0,1.0,2.0,0.0,7.9
M Bhanuka,36,39,0,2,92.3076923076923,Shadab Khan,9.0,50.0,1.0,0.0,2.0,5.555555555555555
GSNFG Jayasuriya,3,6,0,0,50.0,Mohammad Nawaz (3),4.0,24.0,1.0,0.0,0.0,6.0
MD Shanaka,43,24,5,2,179.16666666666669,,,,,,,
PWH de Silva,10,12,0,0,83.33333333333334,,,,,,,
PADLR Sandakan,0,1,0,0,0.0,,,,,,,
N Pradeep,1,2,0,0,50.0,,,,,,,
