batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
XM Marshall,11,9,1,0,122.22222222222223,N Pokana,9.0,28.0,3.0,0.0,0.0,3.111111111111111
MD Patel,39,67,4,0,58.2089552238806,D Ravu,6.0,27.0,0.0,1.0,5.0,4.333333333333333
Steven Ryan Taylor,0,1,0,0,0.0,N Vanua,10.0,37.0,4.0,0.0,1.0,3.7
Aaron Jones,2,10,0,0,20.0,CA Soper,7.0,19.0,0.0,0.0,3.0,2.7142857142857144
JS Malhotra,0,1,0,0,0.0,A Vala,2.0,9.0,1.0,0.0,0.0,4.5
HR Walsh,27,35,4,0,77.14285714285715,CJA Amini,10.0,39.0,2.0,0.0,0.0,3.9
TK Patel,50,74,7,0,67.56756756756756,,,,,,,
K Gore,6,12,1,0,50.0,,,,,,,
Jasdeep Singh,0,12,0,0,0.0,,,,,,,
SN Netravalkar,11,31,1,0,35.483870967741936,,,,,,,
Ali Khan,3,11,0,0,27.27272727272727,,,,,,,
