batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Khawar Ali,5,15,1,0,33.33333333333333,MRJ Watt,7.0,13.0,1.0,0.0,0.0,1.8571428571428572
Jatinder Singh,23,54,0,0,42.592592592592595,SM Sharif,7.0,23.0,3.0,0.0,0.0,3.2857142857142856
Aqib Ilyas,45,58,4,0,77.58620689655173,RD Berrington,1.0,8.0,0.0,0.0,0.0,8.0
Zeeshan Maqsood,0,8,0,0,0.0,Hamza Tahir,10.0,38.0,5.0,0.0,1.0,3.8
AV Lalcheta,6,22,0,0,27.27272727272727,MA Leask,7.0,33.0,0.0,0.0,0.0,4.714285714285714
Suraj Kumar,1,4,0,0,25.0,TB Sole,7.0,22.0,1.0,0.0,1.0,3.142857142857143
Aamir Kaleem,13,16,1,0,81.25,,,,,,,
Sandeep Goud,32,33,2,3,96.96969696969697,,,,,,,
Khurram Nawaz,9,15,0,0,60.0,,,,,,,
Fayyaz Butt,0,1,0,0,0.0,,,,,,,
Bilal Khan,1,4,0,0,25.0,,,,,,,
