batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Ura,0,7,0,0,0.0,MRJ Watt,10.0,43.0,2.0,0.0,1.0,4.3
G Toka,20,40,2,0,50.0,SM Sharif,9.0,44.0,1.0,1.0,0.0,4.777777777777778
A Vala,48,90,2,1,53.333333333333336,MA Leask,9.0,43.0,1.0,0.0,2.0,4.777777777777778
L Siaka,33,42,2,1,78.57142857142857,TB Sole,8.0,30.0,1.0,0.0,3.0,3.75
K Doriga,2,3,0,0,66.66666666666666,Hamza Tahir,10.0,26.0,1.0,0.0,0.0,2.6
CJA Amini,23,34,1,0,67.64705882352942,CS MacLeod,4.0,13.0,1.0,0.0,0.0,3.25
N Vanua,4,4,1,0,100.0,,,,,,,
S Bau,6,16,0,0,37.5,,,,,,,
CA Soper,12,21,0,0,57.14285714285714,,,,,,,
D Ravu,38,38,2,2,100.0,,,,,,,
N Pokana,6,6,0,0,100.0,,,,,,,
