batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
WIA Fernando,74,78,5,3,94.87179487179486,BTJ Wheal,10.0,49.0,3.0,0.0,2.0,4.9
FDM Karunaratne,77,88,7,0,87.5,SM Sharif,10.0,76.0,2.0,2.0,1.0,7.4
BKG Mendis,66,56,4,3,117.85714285714286,AC Evans,7.0,55.0,0.0,0.0,3.0,7.857142857142857
NLTC Perera,0,1,0,0,0.0,TB Sole,9.0,52.0,1.0,0.0,0.0,5.777777777777778
AD Mathews,1,10,0,0,10.0,MRJ Watt,10.0,61.0,1.0,0.0,1.0,6.1
HDRL Thirimanne,44,40,3,1,110.00000000000001,MA Leask,4.0,25.0,1.0,0.0,0.0,6.25
DM de Silva,7,10,0,0,70.0,,,,,,,
BMAJ Mendis,13,8,1,1,162.5,,,,,,,
I Udana,15,7,0,2,214.28571428571428,,,,,,,
RAS Lakmal,12,4,1,1,300.0,,,,,,,
