batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MH Cross,8,14,1,0,57.14285714285714,J Theron,9.0,46.0,3.0,1.0,3.0,5.0
KJ Coetzer,5,11,1,0,45.45454545454545,SN Netravalkar,9.0,34.0,1.0,0.0,0.0,3.7777777777777777
MA Jones,52,74,8,0,70.27027027027027,K Gore,6.0,25.0,0.0,0.0,0.0,4.166666666666667
CS MacLeod,86,102,5,3,84.31372549019608,CAH Stevenson,9.0,43.0,3.0,0.0,2.0,4.777777777777778
RD Berrington,34,32,2,2,106.25,NP Kenjige,7.0,50.0,1.0,0.0,1.0,7.142857142857143
HG Munsey,16,14,1,1,114.28571428571428,IG Holland,8.0,43.0,2.0,0.0,0.0,5.375
DE Budge,27,25,2,0,108.0,,,,,,,
SM Sharif,4,7,0,0,57.14285714285714,,,,,,,
MRJ Watt,1,2,0,0,50.0,,,,,,,
AC Evans,1,3,0,0,33.33333333333333,,,,,,,
Hamza Tahir,0,1,0,0,0.0,,,,,,,
