batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
HM Amla,59,75,7,0,78.66666666666666,Usman Shinwari,7.0,35.0,4.0,0.0,1.0,5.0
Q de Kock,0,7,0,0,0.0,Shaheen Shah Afridi,8.0,24.0,2.0,0.0,3.0,3.0
RR Hendricks,2,9,0,0,22.22222222222222,Mohammad Amir,7.0,26.0,1.0,0.0,1.0,3.7142857142857144
F du Plessis,57,76,5,1,75.0,Imad Wasim,10.0,36.0,1.0,0.0,0.0,3.6
HE van der Dussen,18,31,1,0,58.06451612903226,Shadab Khan,9.0,42.0,2.0,0.0,0.0,4.666666666666667
DA Miller,4,7,0,0,57.14285714285714,,,,,,,
AL Phehlukwayo,11,21,2,0,52.38095238095239,,,,,,,
DW Steyn,0,2,0,0,0.0,,,,,,,
K Rabada,0,1,0,0,0.0,,,,,,,
BE Hendricks,2,8,0,0,25.0,,,,,,,
Imran Tahir,5,9,1,0,55.55555555555556,,,,,,,
