batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
WIA Fernando,29,27,5,0,107.40740740740742,DW Steyn,7.0,32.0,1.0,0.0,5.0,4.571428571428571
WU Tharanga,4,6,1,0,66.66666666666666,L Ngidi,5.0,22.0,1.0,0.0,0.0,4.4
BOP Fernando,0,4,0,0,0.0,A Nortje,8.0,57.0,3.0,0.0,2.0,7.125
BKG Mendis,21,42,1,0,50.0,AL Phehlukwayo,6.0,21.0,2.0,0.0,2.0,3.5
PARP Perera,0,1,0,0,0.0,T Shamsi,10.0,34.0,1.0,0.0,3.0,3.4
PHKD Mendis,9,25,1,0,36.0,JP Duminy,4.0,21.0,1.0,0.0,0.0,5.25
DM de Silva,22,46,2,0,47.82608695652174,,,,,,,
NLTC Perera,12,17,0,0,70.58823529411765,,,,,,,
I Udana,78,57,8,4,136.8421052631579,,,,,,,
SL Malinga,0,2,0,0,0.0,,,,,,,
CAK Rajitha,0,9,0,0,0.0,,,,,,,
