batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,0,5,0,0,0.0,SL Malinga,10.0,38.0,3.0,0.0,9.0,3.8
Soumya Sarkar,15,22,1,0,68.18181818181817,N Pradeep,9.0,51.0,3.0,0.0,0.0,5.666666666666667
Mohammad Mithun,10,21,1,0,47.61904761904761,NLTC Perera,6.0,36.0,0.0,0.0,1.0,6.0
Mushfiqur Rahim,67,86,5,0,77.90697674418605,CBRLS Kumara,7.0,45.0,1.0,0.0,12.0,6.428571428571429
Mahmudullah,3,10,0,0,30.0,DM de Silva,10.0,49.0,2.0,0.0,2.0,4.9
Sabbir Rahman,60,56,7,0,107.14285714285714,,,,,,,
Mosaddek Hossain,12,16,1,0,75.0,,,,,,,
Mehedi Hasan Miraz,2,5,0,0,40.0,,,,,,,
Shafiul Islam,2,9,0,0,22.22222222222222,,,,,,,
Rubel Hossain,6,6,1,0,100.0,,,,,,,
Mustafizur Rahman,18,14,3,0,128.57142857142858,,,,,,,
