batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Tamim Iqbal,19,31,2,0,61.29032258064516,DM de Silva,10.0,39.0,0.0,0.0,1.0,3.9
Soumya Sarkar,11,13,1,0,84.61538461538461,N Pradeep,10.0,53.0,2.0,1.0,1.0,5.2
Mohammad Mithun,12,23,1,0,52.17391304347826,I Udana,10.0,58.0,2.0,0.0,1.0,5.8
Mushfiqur Rahim,98,110,6,1,89.0909090909091,CBRLS Kumara,10.0,42.0,0.0,0.0,7.0,4.2
Mahmudullah,6,18,0,0,33.33333333333333,A Dananjaya,10.0,39.0,2.0,0.0,2.0,3.9
Sabbir Rahman,11,19,2,0,57.89473684210527,,,,,,,
Mosaddek Hossain,13,27,0,0,48.148148148148145,,,,,,,
Mehedi Hasan Miraz,43,49,6,0,87.75510204081633,,,,,,,
Taijul Islam,3,9,0,0,33.33333333333333,,,,,,,
Mustafizur Rahman,2,2,0,0,100.0,,,,,,,
