batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
G Malla,44,61,5,0,72.1311475409836,Mohammad Naveed,10.0,56.0,1.0,0.0,2.0,5.6
B Bhandari,21,46,2,0,45.65217391304348,Zahoor Khan,10.0,42.0,1.0,0.0,1.0,4.2
P Khadka,21,31,1,0,67.74193548387096,Amir Hayat,10.0,41.0,3.0,0.0,4.0,4.1
DS Airee,10,12,2,0,83.33333333333334,Ashfaq Ahmed,10.0,44.0,1.0,0.0,0.0,4.4
P Sarraf,8,15,0,0,53.333333333333336,Imran Haider,10.0,54.0,3.0,1.0,4.0,5.3
Aarif Sheikh,29,49,2,0,59.183673469387756,,,,,,,
RK Paudel,55,58,7,0,94.82758620689656,,,,,,,
Karan KC,18,11,1,2,163.63636363636365,,,,,,,
S Lamichhane,14,10,2,0,140.0,,,,,,,
Sompal Kami,2,3,0,0,66.66666666666666,,,,,,,
LN Rajbanshi,3,5,0,0,60.0,,,,,,,
