batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Ashfaq Ahmed,20,17,4,0,117.64705882352942,Sompal Kami,7.0,33.0,5.0,0.0,1.0,4.714285714285714
Chirag Suri,0,1,0,0,0.0,Karan KC,5.0,23.0,0.0,0.0,1.0,4.6
Ghulam Shabber,2,5,0,0,40.0,P Khadka,4.0,14.0,0.0,0.0,1.0,3.5
Shaiman Anwar,0,9,0,0,0.0,S Lamichhane,4.0,24.0,4.0,0.0,0.0,6.0
CP Rizwan,16,27,2,0,59.25925925925925,,,,,,,
Muhammad Usman,26,39,4,1,66.66666666666666,,,,,,,
Fahad Nawaz,0,1,0,0,0.0,,,,,,,
Amir Hayat,0,3,0,0,0.0,,,,,,,
Mohammad Naveed,19,9,0,2,211.11111111111111,,,,,,,
Imran Haider,0,2,0,0,0.0,,,,,,,
Zahoor Khan,8,4,2,0,200.0,,,,,,,
