batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MH Cross,53,78,4,0,67.94871794871796,Junaid Siddique (2),10.0,49.0,3.0,0.0,1.0,4.9
KJ Coetzer,95,106,8,1,89.62264150943396,DDP D'Silva,10.0,51.0,0.0,0.0,1.0,5.1
HG Munsey,7,12,0,0,58.333333333333336,Rohan Mustafa,9.0,35.0,3.0,0.0,2.0,3.888888888888889
CS MacLeod,17,22,2,0,77.27272727272727,Ahmed Raza,10.0,43.0,1.0,0.0,3.0,4.3
RD Berrington,0,2,0,0,0.0,KP Meiyappan,10.0,39.0,2.0,0.0,0.0,3.9
DE Budge,24,36,1,0,66.66666666666666,,,,,,,
MA Jones,11,20,1,0,55.00000000000001,,,,,,,
JH Davey,0,2,0,0,0.0,,,,,,,
SG Whittingham,1,8,0,0,12.5,,,,,,,
MRJ Watt,2,4,0,0,50.0,,,,,,,
Hamza Tahir,0,1,0,0,0.0,,,,,,,
