batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Chirag Suri,46,85,4,1,54.11764705882353,J Theron,9.0,46.0,1.0,1.0,3.0,5.0
V Aravind,16,25,3,0,64.0,SN Netravalkar,10.0,32.0,5.0,0.0,0.0,3.2
DDP D'Silva,4,3,1,0,133.33333333333331,CAH Stevenson,5.0,17.0,0.0,0.0,2.0,3.4
Basil Hameed,25,39,4,0,64.1025641025641,IG Holland,1.0,9.0,0.0,0.0,0.0,9.0
Muhammad Usman,59,71,4,2,83.09859154929578,K Gore,4.0,16.0,0.0,0.0,0.0,4.0
Rohan Mustafa,9,10,2,0,90.0,Steven Ryan Taylor,8.0,33.0,2.0,0.0,0.0,4.125
Waheed Ahmed,6,13,1,0,46.15384615384615,NP Kenjige,9.0,40.0,1.0,0.0,1.0,4.444444444444445
Ahmed Raza,19,19,1,1,100.0,,,,,,,
KP Meiyappan,0,1,0,0,0.0,,,,,,,
Junaid Siddique (2),2,6,0,0,33.33333333333333,,,,,,,
Zahoor Khan,0,1,0,0,0.0,,,,,,,
