batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Chirag Suri,1,4,0,0,25.0,Steven Ryan Taylor,1.0,9.0,0.0,0.0,0.0,9.0
V Aravind,23,18,2,2,127.77777777777777,SN Netravalkar,9.0,11.0,3.0,0.0,0.0,1.2222222222222223
DDP D'Silva,2,11,0,0,18.181818181818183,J Theron,5.0,31.0,0.0,0.0,2.0,6.2
Basil Hameed,38,56,2,1,67.85714285714286,CAH Stevenson,7.0,22.0,3.0,0.0,0.0,3.142857142857143
Muhammad Usman,0,2,0,0,0.0,NP Kenjige,7.0,26.0,1.0,0.0,0.0,3.7142857142857144
Rohan Mustafa,0,4,0,0,0.0,IG Holland,4.0,11.0,3.0,0.0,0.0,2.75
CP Rizwan,15,32,2,0,46.875,,,,,,,
Waheed Ahmed,17,38,3,0,44.73684210526316,,,,,,,
Ahmed Raza,7,26,0,0,26.923076923076923,,,,,,,
Junaid Siddique (2),1,4,0,0,25.0,,,,,,,
Zahoor Khan,4,3,1,0,133.33333333333331,,,,,,,
