batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
SJ Baard,0,4,0,0,0.0,SN Netravalkar,5.0,11.0,1.0,0.0,0.0,2.2
K Birkenstock,32,57,4,0,56.14035087719298,Jasdeep Singh,3.0,13.0,0.0,2.0,0.0,3.6666666666666665
JP Kotze,17,32,2,1,53.125,EH Hutchinson,4.0,15.0,0.0,0.0,1.0,3.75
MG Erasmus,0,4,0,0,0.0,Steven Ryan Taylor,10.0,23.0,4.0,0.0,1.0,2.3
CG Williams,10,11,2,0,90.9090909090909,TK Patel,10.0,25.0,2.0,0.0,1.0,2.5
C Viljoen,2,12,0,0,16.666666666666664,K Gore,9.0,15.0,2.0,0.0,0.0,1.6666666666666667
JJ Smit,8,36,0,0,22.22222222222222,NK Patel,5.0,14.0,1.0,0.0,0.0,2.8
ZE Green,36,75,5,0,48.0,,,,,,,
JN Frylinck,2,13,0,0,15.384615384615385,,,,,,,
Z Groenewald,3,18,0,0,16.666666666666664,,,,,,,
BM Scholtz,1,16,0,0,6.25,,,,,,,
