batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
XM Marshall,6,19,0,0,31.57894736842105,N Pokana,10.0,40.0,3.0,2.0,1.0,3.8
JS Malhotra,18,17,4,0,105.88235294117648,N Vanua,6.0,43.0,1.0,2.0,2.0,6.833333333333333
Steven Ryan Taylor,9,10,2,0,90.0,CA Soper,10.0,42.0,1.0,1.0,2.0,4.1
MD Patel,35,44,2,0,79.54545454545455,CJA Amini,5.0,22.0,0.0,0.0,0.0,4.4
Aaron Jones,77,117,3,2,65.8119658119658,A Nao,9.0,60.0,1.0,0.0,3.0,6.666666666666667
TK Patel,3,15,0,0,20.0,J Kila,10.0,40.0,3.0,1.0,3.0,3.9
NK Patel,1,7,0,0,14.285714285714285,,,,,,,
K Gore,31,42,3,1,73.80952380952381,,,,,,,
EH Hutchinson,42,21,1,4,200.0,,,,,,,
J Theron,0,2,0,0,0.0,,,,,,,
SN Netravalkar,8,12,1,0,66.66666666666666,,,,,,,
