batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JJ Roy,2,4,0,0,50.0,SS Cottrell,9.0,46.0,5.0,0.0,3.0,5.111111111111111
JM Bairstow,0,1,0,0,0.0,JO Holder,10.0,53.0,3.0,0.0,2.0,5.3
JE Root,36,40,6,0,90.0,O Thomas,5.0,32.0,1.0,0.0,0.0,6.4
EJG Morgan,70,83,5,3,84.33734939759037,AR Nurse,6.0,28.0,0.0,0.0,0.0,4.666666666666667
BA Stokes,79,85,7,2,92.94117647058823,D Bishoo,10.0,49.0,0.0,0.0,1.0,4.9
JC Buttler,34,33,2,2,103.03030303030303,CH Gayle,2.0,15.0,0.0,0.0,1.0,7.5
MM Ali,12,14,0,0,85.71428571428571,CR Brathwaite,6.0,37.0,1.0,0.0,2.0,6.166666666666667
TK Curran,0,1,0,0,0.0,,,,,,,
AU Rashid,15,19,3,0,78.94736842105263,,,,,,,
LE Plunkett,2,3,0,0,66.66666666666666,,,,,,,
MA Wood,1,3,0,0,33.33333333333333,,,,,,,
