batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
JM Bairstow,11,11,2,0,100.0,SS Cottrell,4.0,23.0,1.0,1.0,3.0,5.5
AD Hales,23,35,4,0,65.71428571428571,JO Holder,7.0,28.0,2.0,0.0,4.0,4.0
JE Root,1,2,0,0,50.0,CR Brathwaite,8.0,17.0,2.0,0.0,0.0,2.125
EJG Morgan,18,22,3,0,81.81818181818183,O Thomas,5.0,21.0,5.0,0.0,1.0,4.2
BA Stokes,15,27,2,0,55.55555555555556,AR Nurse,4.0,24.0,0.0,0.0,1.0,6.0
JC Buttler,23,36,1,0,63.888888888888886,,,,,,,
MM Ali,12,25,1,0,48.0,,,,,,,
CR Woakes,0,4,0,0,0.0,,,,,,,
TK Curran,0,2,0,0,0.0,,,,,,,
AU Rashid,0,6,0,0,0.0,,,,,,,
