batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CH Gayle,11,24,1,0,45.83333333333333,B Kumar,8.0,31.0,4.0,0.0,5.0,3.875
E Lewis,65,80,8,1,81.25,Mohammed Shami,8.0,39.0,2.0,0.0,2.0,4.875
SD Hope,5,10,0,0,50.0,KK Ahmed,7.0,32.0,1.0,0.0,2.0,4.571428571428571
SO Hetmyer,18,20,2,0,90.0,Kuldeep Yadav,10.0,59.0,2.0,0.0,1.0,5.9
N Pooran,42,52,4,1,80.76923076923077,KM Jadhav,5.0,25.0,0.0,0.0,1.0,5.0
RL Chase,18,23,1,0,78.26086956521739,RA Jadeja,4.0,15.0,1.0,1.0,0.0,3.5
CR Brathwaite,0,3,0,0,0.0,,,,,,,
JO Holder,13,19,0,0,68.42105263157895,,,,,,,
KAJ Roach,0,3,0,0,0.0,,,,,,,
SS Cottrell,17,18,2,1,94.44444444444444,,,,,,,
O Thomas,0,1,0,0,0.0,,,,,,,
