batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Ashfaq Ahmed,2,11,0,0,18.181818181818183,KM Jarvis,8.0,11.0,2.0,0.0,0.0,1.375
Rohan Mustafa,10,45,0,0,22.22222222222222,TL Chatara,10.0,25.0,3.0,0.0,3.0,2.5
Ghulam Shabber,2,12,0,0,16.666666666666664,DT Tiripano,8.0,18.0,2.0,0.0,3.0,2.25
Chirag Suri,8,18,1,0,44.44444444444444,Sikandar Raza,10.0,21.0,1.0,0.0,2.0,2.1
Shaiman Anwar,11,15,0,1,73.33333333333333,SC Williams,3.0,3.0,0.0,0.0,0.0,1.0
Muhammad Usman,1,29,0,0,3.4482758620689653,B Mavuta,6.0,30.0,2.0,0.0,2.0,5.0
Mohammad Boota,36,76,2,1,47.368421052631575,,,,,,,
Imran Haider,10,26,0,0,38.46153846153847,,,,,,,
Mohammad Naveed,9,6,0,1,150.0,,,,,,,
Sultan Ahmed (2),7,24,0,0,29.166666666666668,,,,,,,
Qadeer Ahmed,2,7,0,0,28.57142857142857,,,,,,,
