batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AT Carey,24,24,4,0,100.0,MT Renshaw,2.0,15.0,1.0,0.0,0.0,7.5
J Weatherald,1,2,0,0,50.0,JK Lalor,4.0,25.0,3.0,0.0,1.0,6.25
JS Lehmann,0,1,0,0,0.0,MP Kuhnemann,2.0,17.0,0.0,0.0,0.0,8.5
CA Ingram,28,21,0,3,133.33333333333331,BCJ Cutting,4.0,44.0,1.0,0.0,3.0,11.0
JW Wells,30,27,0,1,111.11111111111111,MJ Swepson,4.0,34.0,1.0,0.0,0.0,8.5
HJ Nielsen,21,16,2,0,131.25,JA Prestwidge,4.0,38.0,2.0,0.0,2.0,9.5
MG Neser,18,13,2,1,138.46153846153845,,,,,,,
Rashid Khan,19,6,2,1,316.66666666666663,,,,,,,
C Valente,19,8,3,0,237.5,,,,,,,
PM Siddle,7,2,0,1,350.0,,,,,,,
