batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
EP Gulbis,37,25,5,1,148.0,TM Head,1.0,10.0,0.0,0.0,0.0,10.0
BR Dunk,20,15,3,0,133.33333333333331,MG Neser,4.0,32.0,2.0,0.0,0.0,8.0
NCR Larkin,0,4,0,0,0.0,Rashid Khan,4.0,18.0,1.0,0.0,1.0,4.5
NJ Maddinson,5,7,1,0,71.42857142857143,WA Agar,4.0,33.0,2.0,0.0,1.0,8.25
SE Gotch,11,13,0,0,84.61538461538461,B Laughlin,4.0,19.0,3.0,0.0,2.0,4.75
DJ Bravo,33,23,1,2,143.47826086956522,LN O'Connor,3.0,24.0,2.0,0.0,0.0,8.0
J Merlo,4,4,1,0,100.0,,,,,,,
LE Plunkett,4,6,0,0,66.66666666666666,,,,,,,
JM Bird,10,11,0,0,90.9090909090909,,,,,,,
SM Boland,6,6,1,0,100.0,,,,,,,
L Bowe,2,2,0,0,100.0,,,,,,,
