batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Weatherald,52,37,2,4,140.54054054054055,CJ Green,4.0,27.0,0.0,1.0,1.0,6.5
PD Salt,0,6,0,0,0.0,DR Sams,4.0,32.0,2.0,1.0,1.0,7.75
MW Short,6,5,1,0,120.0,JD Cook,2.0,26.0,1.0,0.0,0.0,13.0
AT Carey,19,11,2,1,172.72727272727272,N McAndrew,3.0,21.0,0.0,0.0,1.0,7.0
JW Wells,26,22,1,1,118.18181818181819,CH Morris,4.0,37.0,2.0,0.0,0.0,9.25
CL White,5,8,0,0,62.5,AJ Nair,3.0,19.0,2.0,0.0,0.0,6.333333333333333
C Valente,5,6,1,0,83.33333333333334,,,,,,,
Rashid Khan,40,18,4,3,222.22222222222223,,,,,,,
PM Siddle,4,8,0,0,50.0,,,,,,,
WA Agar,0,1,0,0,0.0,,,,,,,
