batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,10,9,2,0,111.11111111111111,Ziaur Rahman (2),4.0,42.0,2.0,0.0,2.0,10.5
KJ O'Brien,74,47,5,3,157.4468085106383,Sayed Shirzad,4.0,42.0,0.0,0.0,0.0,10.5
A Balbirnie,47,33,7,0,142.42424242424244,Sharafuddin Ashraf,4.0,39.0,0.0,0.0,1.0,9.75
SR Thompson,1,1,0,0,100.0,Mohammad Nabi,4.0,28.0,0.0,0.0,0.0,7.0
GH Dockrell,18,10,1,1,180.0,Rashid Khan,4.0,27.0,5.0,0.0,5.0,6.75
SC Getkate,2,4,0,0,50.0,,,,,,,
Simi Singh,0,1,0,0,0.0,,,,,,,
J Little,6,5,1,0,120.0,,,,,,,
SW Poynter,10,8,1,0,125.0,,,,,,,
WB Rankin,2,2,0,0,100.0,,,,,,,
