batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Hazratullah,0,4,0,0,0.0,SS Cottrell,4.0,29.0,2.0,0.0,2.0,7.25
Rahmanullah Gurbaz,79,52,6,5,151.9230769230769,JO Holder,4.0,26.0,0.0,0.0,1.0,6.5
Karim Janat,2,6,0,0,33.33333333333333,KOK Williams,4.0,31.0,2.0,0.0,3.0,7.75
Ibrahim Zadran,1,10,0,0,10.0,K Pierre,3.0,19.0,0.0,0.0,4.0,6.333333333333333
Asghar Stanikzai,24,20,1,1,120.0,KMA Paul,3.0,26.0,2.0,0.0,0.0,8.666666666666666
Najibullah Zadran,14,14,1,1,100.0,KA Pollard,2.0,21.0,1.0,0.0,1.0,10.5
Mohammad Nabi,15,7,1,1,214.28571428571428,,,,,,,
Rashid Khan,0,1,0,0,0.0,,,,,,,
Gulbadin Naib,4,4,0,0,100.0,,,,,,,
Naveen-ul-Haq,2,2,0,0,100.0,,,,,,,
